Yorumcu_Adi,Yorum_Metni,Puan,Tarih,Platform
Maher SMS,"Bu havalimanındaki deneyimimiz çok hayal kırıklığı yarattı. Suriye kökenli Alman vatandaşı olan kardeşim, Alman büyükelçiliğiyle ilgili bir sorun olduğu iddiasıyla Berlin'e geri gönderildi. Daha sonra büyükelçiliğe gittiğinde herhangi bir …",1,2 saat önce,Google Maps (Firefox)
maciej kałuski,"Çok güzel bir havalimanı, hoş bir sıcaklık, klimaya çok fazla para harcamıyorlar. Alttaki 307 numaralı kapılar, tavan çok alçak ve çok az yer olduğu için biraz tavuk kümesini andırıyor, bu yüzden herkes birbirine sürtünüyor ve herkes …",5,3 saat önce,Google Maps (Firefox)
Andrej Fedorenko,"İçme suyu yok; Wi-Fi yok (ya da çok zayıf ağ kapsama alanı var ve kayıt gerekiyor); çok kirli, sıkışık ve tamamen aşırı kalabalık.",1,4 saat önce,Google Maps (Firefox)
Kübra,"Evet çok güzel kullanışlı metro hattına yakın vs vs birçok güzel özelliğe sahip, çok kullanılıyor ona da tamamız ancak tuvaletler çok pis, aynı paspasla sürekli silinmekten umumi tuvalet gibi kokuyor, yerler yapış yapış, ülkenin ilk gözlemi …",1,11 saat önce,Google Maps (Firefox)
Özcan ERSOY,Sabiha Gökçen havalimanı çok iyi işlemler çok hızlı ilerliyor ben memnun kaldım,5,22 saat önce,Google Maps (Firefox)
A L,"Su çeşmesi yok, her şeyde fahiş fiyatlar, özellikle de şişe su (büyük şişe 8€+). Çok kalabalık ve yeterli koltuk yok. Çoğunlukla restoranlar, duty free mağazaları ve lokumcular var; seyahat malzemeleri satan dükkanlar, eczaneler veya …",2,bir gün önce,Google Maps (Firefox)
kardelen erol,"Çok küçük bir havaalanı
Otopark çok yetersiz.
Trafik yoğun,Giriş çıkış çok zor",1,bir gün önce düzenlendi,Google Maps (Firefox)
Slam Grob,Al Salam Group Araç Kiralama Şirketi,5,bir gün önce,Google Maps (Firefox)
selimbey,personeller kötü,1,bir gün önce,Google Maps (Firefox)
Engin E.,"-Corona kuralları resmen yok. Neredeyse herkes maskesiz dolaşıyor.

+Çalışanlar yardımcı oluyorlar herhangi bi sorun varsa.",2,bir gün önce düzenlendi,Google Maps (Firefox)
