Sehir,Sube_Adi,Adres,Place_ID
Adana,Bim,"Yunus Emre Mah. Şehit Polis Mehmet Ve Ahmet Oruç Sok. No:64, Z01, 01285 Yüreğir/Adana, Türkiye",ChIJ36FSCsOPKBURbV0fTCMjGA0
Adana,BIM,"Ziyapaşa, Baraj Cad. No:74/A, 01140 Seyhan/Adana, Türkiye",ChIJE3SQyiKPKBURppVaCKnD6JI
Adana,BIM,"Şht. Ast, Bey, Şht. Astğm. Kemal Yüzgeç Blv. no:26/A, 01030 Seyhan/Adana, Türkiye",ChIJIxfYgsOFKBURBkD_wTlZ2g0
Adana,BIM,"DEMİRCİ. No:14 EU, Uçak, 43034. Sk. No:14, 01080 Seyhan/Adana, Türkiye",ChIJ8ZL0ozggKxURNdTSA3-XmHM
Adana,Bim,"Dervişler, Yaşar Doğu Cad. No:11-12/B, 01260 Yüreğir/Adana, Türkiye",ChIJ36OtdrqPKBURZuPzPxRR3aE
Adana,BIM,"Özgür, 2391 Sk, NO:13AC Yüreğir/Adana, Türkiye",ChIJAQAAwJePKBUR7cDeeyf6hgY
Adana,Bim Daglıoğlu Şubesi,"Dağlıoğlu, 01040 Seyhan/Adana, Türkiye",ChIJwZzPpgeHKBUR07eM2oEf9Bs
Adana,Bim,"Yeşilyurt, 70082. Sk. No:105, 01150 Seyhan/Adana, Türkiye",ChIJ841KBDKPKBURMx4UbZizNKM
Adana,Bim Millet Şubesi,"Tahsilli, Kozan Cad. No:237, 01240 Yüreğir/Adana, Türkiye",ChIJH0WdWQCPKBURngxMHIskPRE
Adana,BIM,"Havuzlubahçe Mahallesi, 42. Sk No:27a, 01130 Seyhan/Adana, Türkiye",ChIJQ8EOAFCPKBURE2U9NX-wq-8
Adana,BIM,"Akkapı Mah, 42. Sk No:355/A, 01130 Seyhan/Adana, Türkiye",ChIJHxXVmVCPKBURQqHDarFbd2g
Adana,BIM,"Sinanpaşa, Kozan Cad. No:171/1, 01220 Yüreğir/Adana, Türkiye",ChIJ____v3SPKBURd9PilrTdcY8
Adana,Bim,"Cumhuriyet mahallesi Karataş Bulvarı no: 1358/B, Yüreğir, Türkiye",ChIJL8Dge3uPKBURIGWGxvZyNQU
Adana,Bim,"Narlıca, 01190 Seyhan/Adana, Türkiye",ChIJfdwHG62IKBURJi1Jz5pLczo
Adana,BIM,"Yakapınar Mah, Gazipaşa Blv. No:34, 01120 Seyhan/Adana, Türkiye",ChIJZSCkQxWPKBURRgEDL8o-PkE
Adana,BIM,"Yeşilyurt, Atatürk Bulvarı No: 59, 01170 Seyhan/Adana, Türkiye",ChIJq6qqqiuPKBURLUXB2o6B0SU
Adana,BIM,"Yeşilyurt, İbo Osman Cd. No:125/A, 01140 Seyhan/Adana, Türkiye",ChIJg-r7AiaPKBUROHdVDaR5xkQ
