Sehir,Sube_Adi,Adres,Place_ID
Adana,Turgut Özal Cadde DeFacto,"Toros Mahallesi Turgut Özal Bulvarı Numara: 183F, Toros, Turgut Özal Blv. No:181, 01170 Çukurova/Adana, Türkiye",ChIJD3eOSFOJKBURkT5-UVzzunU
Adana,DeFacto,"Toros, Şehitler Bulvarı Akmanlar Apt No: 75/G, 01170 Çukurova/Adana, Türkiye",ChIJHb9BF9KOKBUR-3h07ypzoS4
Adana,DeFacto,"Yeni, 87071. Sk. 7/A, 01200 Seyhan/Adana, Türkiye",ChIJ5XOcC3GIKBURGsn7NNzg4N4
Adana,DeFacto,"Sinanpaşa, Hacı Sabancı Blv. No:28, 01220 Yüreğir/Adana, Türkiye",ChIJSZWw_AuPKBURu03d1kVyFVg
Adana,DeFacto,"Kuruköprü Mah. Çakmak Cad, 33023. Sk. No: 7/A-20/A, 01060 Seyhan/Adana, Türkiye",ChIJLx4GdmePKBURo3qEJEkOHPo
Adıyaman,DeFacto,"Yeni Sanayi, 2819. Sk. No: 70, 02040 Adıyaman Merkez/Adıyaman, Türkiye",ChIJp1G0BBUTMxURQsKxIfKmVu0
Adıyaman,DeFacto,"Hocaömer Mahallesi Gölbaşı Caddesi Numara: 32B, Adıyaman Merkez/Adıyaman, Türkiye",ChIJq6r-73cTMxURcIAT2v6sBkU
Adıyaman,DeFacto,"Hocaömer, Gölbaşı Cd. 32/B, 02100 Adıyaman Merkez/Adıyaman, Türkiye",ChIJpW7pW5wTMxURcZ7e24WlD8o
Afyonkarahisar,DeFacto,"Güvenevler Mah. Mareşal Fevzi Çakmak Bulv. 2096, Sok No:2, 03040 Afyonkarahisar Merkez/Afyonkarahisar, Türkiye",ChIJk3VbbLcXzxQROEnOz3opG6Q
Afyonkarahisar,DeFacto,"Afium AVM, Dörtyol, Turgut Özal Cad No: 40-3A-4A Kat: 2, 03030 Afyonkarahisar Merkez/Afyonkarahisar, Türkiye",ChIJu5-BuMQXzxQRTL026a_zz1A
Afyonkarahisar,DeFacto,"Burmalı, 24. Sk. No:2, 03100 Afyonkarahisar Merkez/Afyonkarahisar, Türkiye",ChIJd5CbG9IXzxQReozYAyQdBlk
Ağrı,DeFacto,"Yenişehir Mah. Vali Ozan Cad. Mardian AVM Apt. No: 1/1, D:15, 47200 Artuklu/Mardin, Türkiye",ChIJFbyVtK6JCkARHjHrJfJsRUU
Ağrı,DeFacto,"Movapark AVM D:30K, Mardin Cd., 47400 Kızıltepe/Mardin, Türkiye",ChIJVVVVVcqICkARK6sginwpNqw
Ağrı,DeFacto,"Cumhuriyet, Av. İbrahim Bozyel Cd. No: 49/A, 76000 Iğdır Merkez/Iğdır, Türkiye",ChIJxxevLcUga0ARusfL4xwGf-Q
Ağrı,DeFacto,"Peyas Mah. Urfa Bulv. Ceylan Park AVM No: 130/1K-28, 21070 Kayapınar/Diyarbakır, Türkiye",ChIJPYORXQcfdUAROpgxT97xU3I
Ağrı,DeFacto,"Kültür Mah. Turgut Özal Bulv Batman Park Alışveriş Merkezi No: 315 Kat: Giriş Daire: G9-10, 72060 Batman Merkez/Batman, Türkiye",ChIJ-_EageJGC0ARy25u03wL-Go
Ağrı,DeFacto - Forum Diyarbakır AVM Şubesi,"Forum Diyarbakir AVM, Fabrika, Elazig Bulv No: 155 Daire: 21, 21100 Yenişehir/Diyarbakır, Türkiye",ChIJM5Ao1CAedUARnmym7wtxX-U
Ağrı,DeFacto,"Kooperatifler, Şanlıurfa Yolu Ninova Park Alışveriş Merkezi 1. Km Kat: Zemin Daire: 015, 21080 Bağlar/Diyarbakır, Türkiye",ChIJH_dDdMAfdUARTyjSOMMNfKs
Ağrı,DeFacto,"Muratpaşa Mah. Cumhuriyet Cad. Palerium AVM No: 22 Daire: 58, 25100 Yakutiye/Erzurum, Türkiye",ChIJX72cKBBfbkARuhfQyfnFJQI
Ağrı,DeFacto,"Oran Mah. Kudüs Cad. Panora AVM No: 3 Daire: 317, 06550 Çankaya/Ankara, Türkiye",ChIJaeAasaFF0xQRWoB-Q8bdS_A
Ağrı,DeFacto,"Uzunyalı, Dr. Alper Temur Cad İstanbul Bazaar AVM No: 6 Daire: 24-26, 08610 Hopa/Artvin, Türkiye",ChIJ_b-8uLyWZ0ARthbsuMD36eU
